16:55:18,TomaNro= 29,    Disip: ,24.19, ºC     , Peltier: ,13.06, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,191 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:24,TomaNro= 30,    Disip: ,24.19, ºC     , Peltier: ,12.4, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,197 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:30,TomaNro= 31,    Disip: ,24.19, ºC     , Peltier: ,11.76, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,203 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:36,TomaNro= 32,    Disip: ,24.19, ºC     , Peltier: ,11.15, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,209 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:42,TomaNro= 33,    Disip: ,24.19, ºC     , Peltier: ,10.58, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,215 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:48,TomaNro= 34,    Disip: ,24.19, ºC     , Peltier: ,10.03, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,221 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:55:54,TomaNro= 35,    Disip: ,24.19, ºC     , Peltier: ,9.5, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,227 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:0,TomaNro= 36,    Disip: ,24.19, ºC     , Peltier: ,9.0, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,232 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:5,TomaNro= 37,    Disip: ,24.19, ºC     , Peltier: ,8.54, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,238 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:11,TomaNro= 38,    Disip: ,24.19, ºC     , Peltier: ,8.08, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,244 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:17,TomaNro= 39,    Disip: ,24.19, ºC     , Peltier: ,7.64, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,250 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:23,TomaNro= 40,    Disip: ,24.19, ºC     , Peltier: ,7.23, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,256 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:29,TomaNro= 41,    Disip: ,24.19, ºC     , Peltier: ,6.85, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,262 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:35,TomaNro= 42,    Disip: ,24.19, ºC     , Peltier: ,6.46, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,268 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:41,TomaNro= 43,    Disip: ,24.19, ºC     , Peltier: ,6.12, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,274 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:47,TomaNro= 44,    Disip: ,24.19, ºC     , Peltier: ,5.76, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,280 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:53,TomaNro= 45,    Disip: ,24.19, ºC     , Peltier: ,5.44, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,286 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:56:59,TomaNro= 46,    Disip: ,24.19, ºC     , Peltier: ,5.13, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,292 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:5,TomaNro= 47,    Disip: ,24.19, ºC     , Peltier: ,4.82, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,298 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:11,TomaNro= 48,    Disip: ,24.19, ºC     , Peltier: ,4.55, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,304 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:17,TomaNro= 49,    Disip: ,24.19, ºC     , Peltier: ,4.27, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,310 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:23,TomaNro= 50,    Disip: ,24.19, ºC     , Peltier: ,4.02, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,316 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=245,
16:57:29,TomaNro= 51,    Disip: ,24.19, ºC     , Peltier: ,3.78, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,322 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=212,
16:57:35,TomaNro= 52,    Disip: ,24.19, ºC     , Peltier: ,4.0, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,327 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=165,
16:57:40,TomaNro= 53,    Disip: ,24.19, ºC     , Peltier: ,4.55, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,333 seg , T1 Goal: ,4.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=212,
16:57:46,TomaNro= 54,    Disip: ,24.19, ºC     , Peltier: ,5.2, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,339 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:52,TomaNro= 55,    Disip: ,24.19, ºC     , Peltier: ,5.81, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,345 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:57:59,TomaNro= 56,    Disip: ,39.0, ºC     , Peltier: ,6.5, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,352 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=165,
16:58:5,TomaNro= 57,    Disip: ,39.0, ºC     , Peltier: ,7.13, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,358 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:12,TomaNro= 58,    Disip: ,39.0, ºC     , Peltier: ,7.75, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,365 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:18,TomaNro= 59,    Disip: ,39.0, ºC     , Peltier: ,8.31, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,371 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:25,TomaNro= 60,    Disip: ,39.0, ºC     , Peltier: ,8.88, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,378 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:31,TomaNro= 61,    Disip: ,39.0, ºC     , Peltier: ,9.44, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,384 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:37,TomaNro= 62,    Disip: ,39.0, ºC     , Peltier: ,9.94, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,390 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:43,TomaNro= 63,    Disip: ,39.0, ºC     , Peltier: ,10.39, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,396 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:50,TomaNro= 64,    Disip: ,39.0, ºC     , Peltier: ,10.92, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,403 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:58:57,TomaNro= 65,    Disip: ,39.0, ºC     , Peltier: ,11.46, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,410 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:4,TomaNro= 66,    Disip: ,39.0, ºC     , Peltier: ,11.85, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,417 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:10,TomaNro= 67,    Disip: ,39.0, ºC     , Peltier: ,11.61, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,423 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:17,TomaNro= 68,    Disip: ,39.0, ºC     , Peltier: ,11.0, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,430 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:23,TomaNro= 69,    Disip: ,39.0, ºC     , Peltier: ,10.39, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,436 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
