0:9:55,TomaNro= 28,    Disip: ,31.25, ºC     , Peltier: ,19.05, ºC     , teInsta: ,18.4, ºC     , teAire: ,21.5, ºC     , Corrida: ,174 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=225,

0:10:1,TomaNro= 29,    Disip: ,31.25, ºC     , Peltier: ,20.7, ºC     , teInsta: ,17.53, ºC     , teAire: ,21.5, ºC     , Corrida: ,180 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:10:7,TomaNro= 30,    Disip: ,31.25, ºC     , Peltier: ,21.06, ºC     , teInsta: ,17.2, ºC     , teAire: ,21.5, ºC     , Corrida: ,186 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:10:13,TomaNro= 31,    Disip: ,31.25, ºC     , Peltier: ,20.51, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,192 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:10:19,TomaNro= 32,    Disip: ,31.25, ºC     , Peltier: ,19.73, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,198 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:10:25,TomaNro= 33,    Disip: ,31.25, ºC     , Peltier: ,18.88, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,204 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:10:31,TomaNro= 34,    Disip: ,31.25, ºC     , Peltier: ,18.05, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,210 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:10:38,TomaNro= 35,    Disip: ,31.25, ºC     , Peltier: ,17.17, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,217 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=225,

0:10:44,TomaNro= 36,    Disip: ,31.25, ºC     , Peltier: ,16.56, ºC     , teInsta: ,25.12, ºC     , teAire: ,21.5, ºC     , Corrida: ,223 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:10:50,TomaNro= 37,    Disip: ,31.25, ºC     , Peltier: ,17.24, ºC     , teInsta: ,20.11, ºC     , teAire: ,21.5, ºC     , Corrida: ,229 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:10:56,TomaNro= 38,    Disip: ,31.25, ºC     , Peltier: ,18.99, ºC     , teInsta: ,18.19, ºC     , teAire: ,21.5, ºC     , Corrida: ,235 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=197,

0:11:2,TomaNro= 39,    Disip: ,31.25, ºC     , Peltier: ,20.56, ºC     , teInsta: ,17.39, ºC     , teAire: ,21.5, ºC     , Corrida: ,241 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:11:9,TomaNro= 40,    Disip: ,31.25, ºC     , Peltier: ,20.9, ºC     , teInsta: ,17.15, ºC     , teAire: ,21.5, ºC     , Corrida: ,247 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:11:15,TomaNro= 41,    Disip: ,31.25, ºC     , Peltier: ,20.33, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,253 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:11:21,TomaNro= 42,    Disip: ,31.25, ºC     , Peltier: ,19.53, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,259 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:11:27,TomaNro= 43,    Disip: ,31.25, ºC     , Peltier: ,18.7, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,265 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:11:33,TomaNro= 44,    Disip: ,31.25, ºC     , Peltier: ,17.87, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,271 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:11:39,TomaNro= 45,    Disip: ,31.25, ºC     , Peltier: ,17.03, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,278 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=183,

