10:50:16,TomaNro= 23,    Disip: ,22.19, ºC     , Peltier: ,19.62, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,146 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=245,
10:50:23,TomaNro= 24,    Disip: ,22.19, ºC     , Peltier: ,21.07, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,153 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:50:29,TomaNro= 25,    Disip: ,22.19, ºC     , Peltier: ,21.87, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,159 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=197,
10:50:35,TomaNro= 26,    Disip: ,22.19, ºC     , Peltier: ,21.62, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,165 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:50:41,TomaNro= 27,    Disip: ,22.19, ºC     , Peltier: ,20.85, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,171 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:50:47,TomaNro= 28,    Disip: ,22.19, ºC     , Peltier: ,19.84, ºC     , teInsta: ,20.11, ºC     , teAire: ,20.25, ºC     , Corrida: ,177 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:50:54,TomaNro= 29,    Disip: ,22.19, ºC     , Peltier: ,19.5, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,184 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:1,TomaNro= 30,    Disip: ,22.19, ºC     , Peltier: ,19.62, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,191 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:7,TomaNro= 31,    Disip: ,22.19, ºC     , Peltier: ,19.81, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,197 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:14,TomaNro= 32,    Disip: ,22.19, ºC     , Peltier: ,20.03, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,204 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:21,TomaNro= 33,    Disip: ,22.19, ºC     , Peltier: ,20.21, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,211 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:27,TomaNro= 34,    Disip: ,22.19, ºC     , Peltier: ,20.38, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,217 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:34,TomaNro= 35,    Disip: ,22.19, ºC     , Peltier: ,20.54, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,224 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:51:40,TomaNro= 36,    Disip: ,22.19, ºC     , Peltier: ,20.62, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,230 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=183,
10:51:47,TomaNro= 37,    Disip: ,22.19, ºC     , Peltier: ,20.21, ºC     , teInsta: ,19.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,237 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=212,
10:51:53,TomaNro= 38,    Disip: ,22.19, ºC     , Peltier: ,19.37, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,243 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=197,
10:52:0,TomaNro= 39,    Disip: ,22.19, ºC     , Peltier: ,18.55, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,250 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:7,TomaNro= 40,    Disip: ,22.19, ºC     , Peltier: ,18.32, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,257 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:13,TomaNro= 41,    Disip: ,22.19, ºC     , Peltier: ,18.52, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,263 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=197,
10:52:20,TomaNro= 42,    Disip: ,22.19, ºC     , Peltier: ,19.37, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,270 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:26,TomaNro= 43,    Disip: ,22.19, ºC     , Peltier: ,20.02, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.25, ºC     , Corrida: ,276 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:33,TomaNro= 44,    Disip: ,22.19, ºC     , Peltier: ,20.25, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.0, ºC     , Corrida: ,283 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=165,
10:52:40,TomaNro= 45,    Disip: ,22.19, ºC     , Peltier: ,19.93, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.0, ºC     , Corrida: ,290 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=212,
10:52:46,TomaNro= 46,    Disip: ,22.19, ºC     , Peltier: ,19.19, ºC     , teInsta: ,19.26, ºC     , teAire: ,20.0, ºC     , Corrida: ,296 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:53,TomaNro= 47,    Disip: ,22.19, ºC     , Peltier: ,18.94, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,303 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:52:59,TomaNro= 48,    Disip: ,22.19, ºC     , Peltier: ,19.04, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,309 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:6,TomaNro= 49,    Disip: ,22.19, ºC     , Peltier: ,19.19, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,316 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:13,TomaNro= 50,    Disip: ,22.19, ºC     , Peltier: ,19.37, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,323 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:19,TomaNro= 51,    Disip: ,22.19, ºC     , Peltier: ,19.52, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,329 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:26,TomaNro= 52,    Disip: ,22.19, ºC     , Peltier: ,19.65, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,336 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:33,TomaNro= 53,    Disip: ,22.19, ºC     , Peltier: ,19.79, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,343 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:53:39,TomaNro= 54,    Disip: ,22.19, ºC     , Peltier: ,19.85, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,349 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=183,
10:53:46,TomaNro= 55,    Disip: ,22.19, ºC     , Peltier: ,19.41, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.0, ºC     , Corrida: ,356 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=197,
10:53:52,TomaNro= 56,    Disip: ,22.19, ºC     , Peltier: ,18.62, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,362 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=165,
10:53:59,TomaNro= 57,    Disip: ,22.19, ºC     , Peltier: ,17.9, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,369 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:54:5,TomaNro= 58,    Disip: ,22.19, ºC     , Peltier: ,17.71, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,375 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:54:12,TomaNro= 59,    Disip: ,22.19, ºC     , Peltier: ,17.9, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,382 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=197,
10:54:19,TomaNro= 60,    Disip: ,22.19, ºC     , Peltier: ,18.73, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,389 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:54:25,TomaNro= 61,    Disip: ,22.19, ºC     , Peltier: ,19.37, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,395 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:54:32,TomaNro= 62,    Disip: ,22.19, ºC     , Peltier: ,19.62, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,402 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:54:38,TomaNro= 63,    Disip: ,22.19, ºC     , Peltier: ,19.72, ºC     , teInsta: ,18.64, ºC     , teAire: ,19.75, ºC     , Corrida: ,408 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=212,
10:54:45,TomaNro= 64,    Disip: ,22.19, ºC     , Peltier: ,19.2, ºC     , teInsta: ,18.64, ºC     , teAire: ,19.75, ºC     , Corrida: ,414 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=225,
10:54:51,TomaNro= 65,    Disip: ,22.19, ºC     , Peltier: ,18.31, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,421 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=165,
10:54:58,TomaNro= 66,    Disip: ,22.19, ºC     , Peltier: ,17.54, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,428 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:55:4,TomaNro= 67,    Disip: ,22.19, ºC     , Peltier: ,17.41, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,434 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=183,
10:55:10,TomaNro= 68,    Disip: ,22.19, ºC     , Peltier: ,18.2, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,440 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=212,
10:55:17,TomaNro= 69,    Disip: ,22.19, ºC     , Peltier: ,19.52, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,447 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:55:23,TomaNro= 70,    Disip: ,22.19, ºC     , Peltier: ,20.2, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,453 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=225,
10:55:29,TomaNro= 71,    Disip: ,22.19, ºC     , Peltier: ,19.88, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,459 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:55:35,TomaNro= 72,    Disip: ,22.19, ºC     , Peltier: ,19.04, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,465 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:55:42,TomaNro= 73,    Disip: ,22.19, ºC     , Peltier: ,18.03, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,472 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:55:48,TomaNro= 74,    Disip: ,22.19, ºC     , Peltier: ,17.69, ºC     , teInsta: ,18.4, ºC     , teAire: ,19.75, ºC     , Corrida: ,478 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:55:55,TomaNro= 75,    Disip: ,22.19, ºC     , Peltier: ,17.84, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,485 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:2,TomaNro= 76,    Disip: ,22.19, ºC     , Peltier: ,18.05, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,491 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:8,TomaNro= 77,    Disip: ,22.19, ºC     , Peltier: ,18.29, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,498 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
