13.81, ºC     ,19:44:48,TomaNro= 55,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.75, ºC     ,19:44:49,TomaNro= 56,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.69, ºC     ,19:44:50,TomaNro= 57,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.63, ºC     ,19:44:50,TomaNro= 58,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.56, ºC     ,19:44:52,TomaNro= 59,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.5, ºC     ,19:44:53,TomaNro= 60,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.44, ºC     ,19:44:53,TomaNro= 61,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.38, ºC     ,19:44:54,TomaNro= 62,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.31, ºC     ,19:44:55,TomaNro= 63,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.25, ºC     ,19:44:55,TomaNro= 64,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.19, ºC     ,19:44:57,TomaNro= 65,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.13, ºC     ,19:44:58,TomaNro= 66,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.06, ºC     ,19:44:58,TomaNro= 67,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
13.0, ºC     ,19:45:0,TomaNro= 68,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2EVENTO= 2,
12.94, ºC     ,19:45:1,TomaNro= 69,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.88, ºC     ,19:45:2,TomaNro= 70,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.81, ºC     ,19:45:3,TomaNro= 71,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
