22:43:45,TomaNro= 24,    Disip: ,33.56, ºC     , Peltier: ,20.81, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,150 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:43:51,TomaNro= 25,    Disip: ,33.56, ºC     , Peltier: ,22.64, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,157 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:43:57,TomaNro= 26,    Disip: ,33.56, ºC     , Peltier: ,25.21, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,163 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:3,TomaNro= 27,    Disip: ,33.56, ºC     , Peltier: ,26.13, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,169 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:9,TomaNro= 28,    Disip: ,33.56, ºC     , Peltier: ,25.64, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,175 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:15,TomaNro= 29,    Disip: ,33.56, ºC     , Peltier: ,24.79, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,181 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:21,TomaNro= 30,    Disip: ,33.56, ºC     , Peltier: ,23.81, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,187 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:27,TomaNro= 31,    Disip: ,33.56, ºC     , Peltier: ,22.85, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,193 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:33,TomaNro= 32,    Disip: ,33.56, ºC     , Peltier: ,21.83, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,199 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:40,TomaNro= 33,    Disip: ,33.56, ºC     , Peltier: ,21.03, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,206 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
