17.06, ºC     ,15:55:57,TomaNro= 55,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:55:58,TomaNro= 56,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:55:59,TomaNro= 57,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:55:59,TomaNro= 58,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:0,TomaNro= 59,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:1,TomaNro= 60,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:2,TomaNro= 61,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:2,TomaNro= 62,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.56, ºC     ,15:56:3,TomaNro= 63,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.5, ºC     ,15:56:4,TomaNro= 64,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.56, ºC     ,15:56:5,TomaNro= 65,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:6,TomaNro= 66,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:6,TomaNro= 67,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:7,TomaNro= 68,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:8,TomaNro= 69,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:8,TomaNro= 70,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:11,TomaNro= 71,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:12,TomaNro= 72,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:13,TomaNro= 73,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:13,TomaNro= 74,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.56, ºC     ,15:56:14,TomaNro= 75,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:17,TomaNro= 76,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:18,TomaNro= 77,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:19,TomaNro= 78,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:19,TomaNro= 79,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:23,TomaNro= 80,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:24,TomaNro= 81,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:24,TomaNro= 82,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:25,TomaNro= 83,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.56, ºC     ,15:56:26,TomaNro= 84,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:27,TomaNro= 85,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:28,TomaNro= 86,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:29,TomaNro= 87,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:30,TomaNro= 88,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
