
23:28:29,TomaNro= 29,    Disip: ,35.44, ºC     , Peltier: ,20.87, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,187 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=165,
23:28:36,TomaNro= 30,    Disip: ,35.44, ºC     , Peltier: ,20.5, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,194 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=183,
23:28:42,TomaNro= 31,    Disip: ,35.44, ºC     , Peltier: ,19.84, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,200 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:28:49,TomaNro= 32,    Disip: ,35.44, ºC     , Peltier: ,19.62, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,207 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:28:55,TomaNro= 33,    Disip: ,35.44, ºC     , Peltier: ,19.71, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,213 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:2,TomaNro= 34,    Disip: ,35.44, ºC     , Peltier: ,19.86, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,220 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:8,TomaNro= 35,    Disip: ,35.44, ºC     , Peltier: ,20.01, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,226 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:15,TomaNro= 36,    Disip: ,35.44, ºC     , Peltier: ,20.15, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,233 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:22,TomaNro= 37,    Disip: ,35.44, ºC     , Peltier: ,20.28, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,239 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:28,TomaNro= 38,    Disip: ,35.44, ºC     , Peltier: ,20.4, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,246 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:35,TomaNro= 39,    Disip: ,35.44, ºC     , Peltier: ,20.49, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,253 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:41,TomaNro= 40,    Disip: ,35.44, ºC     , Peltier: ,20.6, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,259 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
