19.69, ºC     ,19:59:58,TomaNro= 55,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.75, ºC     ,20:0:3,TomaNro= 56,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.81, ºC     ,20:0:9,TomaNro= 57,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.75, ºC     ,20:0:10,TomaNro= 58,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.81, ºC     ,20:0:10,TomaNro= 59,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.87, ºC     ,20:0:15,TomaNro= 60,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
19.94, ºC     ,20:0:22,TomaNro= 61,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.0, ºC     ,20:0:27,TomaNro= 62,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.06, ºC     ,20:0:33,TomaNro= 63,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.12, ºC     ,20:0:39,TomaNro= 64,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.19, ºC     ,20:0:45,TomaNro= 65,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.25, ºC     ,20:0:52,TomaNro= 66,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.31, ºC     ,20:0:59,TomaNro= 67,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.37, ºC     ,20:1:6,TomaNro= 68,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.44, ºC     ,20:1:14,TomaNro= 69,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.5, ºC     ,20:1:22,TomaNro= 70,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.56, ºC     ,20:1:30,TomaNro= 71,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.62, ºC     ,20:1:39,TomaNro= 72,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.69, ºC     ,20:1:47,TomaNro= 73,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.75, ºC     ,20:1:55,TomaNro= 74,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.69, ºC     ,20:1:56,TomaNro= 75,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.75, ºC     ,20:1:57,TomaNro= 76,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.81, ºC     ,20:2:5,TomaNro= 77,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.87, ºC     ,20:2:14,TomaNro= 78,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.81, ºC     ,20:2:15,TomaNro= 79,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.87, ºC     ,20:2:17,TomaNro= 80,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.94, ºC     ,20:2:25,TomaNro= 81,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
