16:18:14,TomaNro= 25,    Disip: ,33.38, ºC     , Peltier: ,18.47, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,163 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=197,
16:18:20,TomaNro= 26,    Disip: ,33.38, ºC     , Peltier: ,18.3, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,169 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=250,
16:18:27,TomaNro= 27,    Disip: ,33.38, ºC     , Peltier: ,17.62, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,176 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=235,
16:18:34,TomaNro= 28,    Disip: ,33.38, ºC     , Peltier: ,16.83, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,183 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:40,TomaNro= 29,    Disip: ,33.38, ºC     , Peltier: ,16.75, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,189 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:47,TomaNro= 30,    Disip: ,33.38, ºC     , Peltier: ,17.12, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,196 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:53,TomaNro= 31,    Disip: ,33.38, ºC     , Peltier: ,17.57, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,202 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:0,TomaNro= 32,    Disip: ,33.38, ºC     , Peltier: ,17.99, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,209 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:7,TomaNro= 33,    Disip: ,33.38, ºC     , Peltier: ,18.37, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,216 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=183,
16:19:13,TomaNro= 34,    Disip: ,33.38, ºC     , Peltier: ,18.24, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,222 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=245,
